timestamp,type,epoch,step,loss,perplexity,tokens,batches,tokens_per_second,learning_rate,gradient_norm
1784786479.03116,train,1,116,3.925863027572632,,97,,6029.526029473671,0.00019996850658961725,2.134758472442627
1784786479.081236,train,1,117,6.070209980010986,,97,,8006.052905958559,0.00019996444715948976,1.7228634357452393
1784786479.131059,train,1,118,3.587226629257202,,14,,1240.2779919575207,0.00019996014176999904,5.025612831115723
1784786479.180639,train,1,119,3.0676417350769043,,82,,6960.113541078766,0.00019995559043291586,1.0834462642669678
1784786479.2304,train,1,120,6.1658759117126465,,30,,2612.8325620953146,0.00019995079316068335,3.3042163848876953
1784786479.281085,train,1,121,2.968561887741089,,68,,5475.150464015405,0.0001999457499664171,1.4638770818710327
1784786479.3309388,train,1,122,2.0796120166778564,,33,,2760.9189740714355,0.00019994046086390502,1.931272029876709
1784786479.380157,train,1,123,3.710367202758789,,56,,5686.794701846036,0.00019993492586760733,1.939283847808838
1784786479.429292,train,1,124,3.48116135597229,,184,,18493.159295857822,0.00019992914499265647,1.787429928779602
1784786479.478601,train,1,125,3.1736667156219482,,21,,2069.6110727949663,0.0001999231182548571,4.088642120361328
1784786479.5281549,train,1,126,3.304178476333618,,84,,8054.689040510925,0.00019991684567068614,1.9158673286437988
1784786479.581606,train,1,127,3.0164830684661865,,152,,10020.601568018452,0.00019991032725729258,0.9172214865684509
1784786479.6327198,train,1,128,3.3032634258270264,,87,,6562.921710009527,0.00019990356303249755,2.1799089908599854
1784786479.6818151,train,1,129,4.637298583984375,,7,,757.0295326639375,0.00019989655301479414,8.993273735046387
1784786479.730847,train,1,130,4.534613132476807,,23,,2543.1458510400157,0.00019988929722334744,3.4298315048217773
1784786479.780638,train,1,131,5.846168518066406,,35,,3344.01571208841,0.00019988179567799455,5.194393634796143
1784786479.830274,train,1,132,3.016555070877075,,105,,9978.301471272383,0.00019987404839924444,2.2893712520599365
1784786479.880159,train,1,133,3.4221177101135254,,65,,6044.660555464432,0.0001998660554082778,3.4330506324768066
1784786479.929944,train,1,134,5.680941581726074,,22,,2035.835328444771,0.00019985781672694723,4.928513050079346
1784786479.979748,train,1,135,3.829716205596924,,47,,4047.449889897056,0.00019984933237777693,2.1174936294555664
1784786480.0299678,train,1,136,3.1585710048675537,,26,,2250.5707575219344,0.00019984060238396282,3.7331886291503906
1784786480.079993,train,1,137,5.794297695159912,,15,,1291.0953496995394,0.00019983162676937233,7.507928371429443
1784786480.130292,train,1,138,7.758460998535156,,61,,5057.361671376897,0.00019982240555854446,2.4895801544189453
1784786480.179862,train,1,139,5.453268527984619,,35,,2974.0302586364605,0.00019981293877668966,2.9354279041290283
1784786480.2327611,train,1,140,4.553341865539551,,99,,7100.995082895461,0.00019980322644968973,2.804936647415161
1784786480.28895,train,1,141,3.1045680046081543,,82,,1984.5291431834955,0.00019979326860409782,1.250930666923523
1784786480.341859,train,1,142,3.796295404434204,,203,,16348.883569554599,0.00019978306526713827,2.03372859954834
1784786480.395416,train,1,143,4.122949600219727,,24,,1734.5845663692903,0.00019977261646670667,3.8842525482177734
1784786480.44649,train,1,144,4.366997718811035,,13,,1012.5858973046268,0.0001997619222313696,4.67829704284668
1784786480.495918,train,1,145,3.5144715309143066,,23,,2429.0641971572522,0.00019975098259036474,4.54292106628418
1784786480.5452049,train,1,146,3.9130666255950928,,164,,17716.801260825694,0.00019973979757360055,2.3647758960723877
1784786480.594893,train,1,147,5.789514064788818,,58,,5761.398631693833,0.00019972836721165652,2.526972770690918
1784786480.644516,train,1,148,5.15731143951416,,20,,1880.7967913685375,0.00019971669153578278,4.697611331939697
1784786480.694396,train,1,149,4.358498573303223,,29,,2690.3439200327384,0.00019970477057790025,4.411466121673584
1784786480.7470531,train,1,150,5.034406661987305,,72,,6481.15850703913,0.0001996926043706003,2.4146106243133545
1784786480.797569,train,1,151,4.048045635223389,,207,,19439.35765662675,0.00019968019294714487,1.9601058959960938
1784786480.847222,train,1,152,1.4527517557144165,,188,,18526.882258780995,0.0001996675363414664,0.8267542719841003
1784786480.8967612,train,1,153,4.677389144897461,,75,,7363.076957572721,0.00019965463458816753,2.577378988265991
1784786480.946538,train,1,154,4.681217670440674,,48,,4468.389634464925,0.00019964148772252114,3.333737850189209
1784786480.996609,train,1,155,3.1973114013671875,,26,,2333.6961041638465,0.00019962809578047023,2.2801291942596436
1784786481.0466251,train,1,156,5.159555435180664,,24,,2105.0170182288066,0.00019961445879862794,3.506614923477173
