batch_size,elapsed_seconds,epoch,examples_per_second,gpu_memory_mb,gradient_norm,learning_rate,loss,perplexity,step,tokens,tokens_per_second,type
2,1.0205347499977506,1,1.9597568823642784,,5.578835487365723,6.899999999999999e-06,10.019798278808594,22466.897413465937,23,2048,2006.791047541021,train
2,0.9660545420010749,1,2.0702764834138887,,4.1093525886535645,7.2e-06,10.118057250976562,24786.569944555027,24,2048,2119.963119015822,train
2,0.9684505419972993,1,2.0651545053351597,,3.7463533878326416,7.499999999999999e-06,10.12373161315918,24927.61771930568,25,2048,2114.7182134632035,train
2,1.029052458001388,1,1.9435355160458714,,5.378264904022217,7.799999999999998e-06,10.061456680297852,23422.600774879116,26,2048,1990.1803684309723,train
2,0.9704859999983455,1,2.060823133979686,,4.3708038330078125,8.099999999999999e-06,9.96718978881836,21315.500047645462,27,2048,2110.2828891951985,train
2,1.0178457080000953,1,1.9649343552567329,,5.207540988922119,8.4e-06,9.961259841918945,21189.474296534572,28,2048,2012.0927797828945,train
2,0.9690798749979876,1,2.063813367297668,,4.331393718719482,8.7e-06,9.868356704711914,19309.58154311157,29,2048,2113.344888112812,train
2,0.9620035410007404,1,2.0789944264856515,,3.3919310569763184,8.999999999999999e-06,9.949329376220703,20938.17603365428,30,2048,2128.890292721307,train
2,1.02523920800013,1,1.9507642552036952,,3.9341607093811035,9.299999999999999e-06,9.874399185180664,19426.61253510535,31,2048,1997.582597328584,train
2,1.0018759589984256,1,1.9962551072683667,,3.76540207862854,9.6e-06,9.849449157714844,18947.914614274312,32,2048,2044.1652298428075,train
2,0.969366125002125,1,2.063203931327408,,4.036449432373047,9.9e-06,9.872495651245117,19389.66849216716,33,2048,2112.720825679266,train
2,0.9677824169993983,1,2.066580219757437,,3.8867175579071045,1.02e-05,9.723055839538574,16698.193844610872,34,2048,2116.1781450316157,train
2,0.9718025000001944,1,2.058031338671798,,3.394347906112671,1.05e-05,9.926664352416992,20468.949378863563,35,2048,2107.424090799921,train
2,0.9691234160018212,1,2.0637206438072915,,3.059156656265259,1.0799999999999998e-05,9.917698860168457,20286.255366492125,36,2048,2113.2499392586665,train
2,0.9978095420010504,1,2.0043905332766347,,3.8248867988586426,1.1099999999999999e-05,9.677291870117188,15951.240350597327,37,2048,2052.495906075274,train
2,0.9710087499988731,1,2.059713674055276,,3.939026117324829,1.14e-05,9.56606674194336,14272.16965403592,38,2048,2109.1468022326026,train
2,1.0274932500033174,1,1.9464848065849025,,3.0541892051696777,1.17e-05,9.703937530517578,16381.984935808274,39,2048,1993.2004419429402,train
2,0.9662013330016634,1,2.069961954809844,,3.490595579147339,1.1999999999999999e-05,9.561668395996094,14209.533563054763,40,2048,2119.64104172528,train
2,1.009742082998855,1,1.980703818999161,,4.423007488250732,1.2299999999999999e-05,9.638835906982422,15349.465122713887,41,2048,2028.240710655141,train
