elapsed_seconds,epoch,gpu_memory_mb,gradient_norm,learning_rate,loss,perplexity,step,timestamp,tokens,tokens_per_second,type
0.15272329200524837,1,,3.859076738357544,4.7216900300986936e-05,9.134427070617676,9268.96563748784,16,1784758838.932128,62,405.9629620730632,train
0.1550017920017126,1,,7.393962383270264,4.6866695607588737e-05,8.405287742614746,4470.643972264479,17,1784758839.108939,27,174.19153450626996,train
0.15844712499529123,1,,6.8460564613342285,4.6497378323795345e-05,8.218761444091797,3709.9046115253686,18,1784758839.2843132,101,637.4366212261758,train
0.15858283399575157,1,,5.885038375854492,4.610931292117764e-05,8.686744689941406,5923.86679771378,19,1784758839.460584,19,119.81120226738419,train
0.1517165830009617,1,,5.407690048217773,4.570288237343632e-05,8.476968765258789,4802.869185323281,20,1784758839.6357088,32,210.91959340922648,train
0.15833208300318802,1,,5.086540699005127,4.527848777845304e-05,8.118907928466797,3357.3522734830267,21,1784758839.810397,77,486.3196298532219,train
0.15794095899764216,1,,3.220377206802368,4.483654796245526e-05,8.530522346496582,5067.091921385518,22,1784758839.989147,187,1183.9867326802269,train
0.15086858299764572,1,,4.787674903869629,4.437749906668534e-05,8.262323379516602,3875.0869471759174,23,1784758840.163,58,384.4405432037834,train
0.1585303749961895,1,,4.267303943634033,4.390179411698176e-05,8.375877380371094,4341.075382429891,24,1784758840.338975,95,599.2542438777646,train
0.1600568750000093,1,,5.7094573974609375,4.340990257669732e-05,8.875676155090332,7155.783251346709,25,1784758840.5148852,28,174.9378150735379,train
0.15858733300410677,1,,3.4952120780944824,4.29023098833955e-05,8.350468635559082,4232.163620835582,26,1784758840.690482,198,1248.5234239664817,train
0.1551921249993029,1,,4.674560070037842,4.237951696978217e-05,8.60608959197998,5464.837098261402,27,1784758840.867109,35,225.5269073746958,train
0.15295704099844443,1,,5.374965667724609,4.184203976934552e-05,8.061248779296875,3169.245352228683,28,1784758841.0416179,23,150.36901766577657,train
0.1577551670052344,1,,4.224498748779297,4.129040870719198e-05,8.670828819274902,5830.329637112765,29,1784758841.216386,48,304.26895620101834,train
0.1588898749978398,1,,4.861697673797607,4.072516817658065e-05,7.951127529144287,2838.773947013983,30,1784758841.392735,77,484.612376975228,train
0.15754879100131802,1,,4.625852584838867,4.014687600167294e-05,8.538785934448242,5109.137766642461,31,1784758841.567591,39,247.54236292218664,train
0.1546206249986426,1,,5.020230293273926,3.955610288702742e-05,8.551492691040039,5174.472554171945,32,1784758841.742545,70,452.7209743241856,train
0.15652020800189348,1,,5.898852825164795,3.8953431854383354e-05,8.735125541687012,6217.514710681171,33,1784758841.916734,27,172.50168744775354,train
0.15667783299431903,1,,4.747305870056152,3.8339457667288595e-05,8.511456489562988,4971.398608001669,34,1784758842.0913541,61,389.3339525714004,train
0.14696237499447307,1,,4.583781719207764,3.771478624413981e-05,8.820144653320312,6769.243748034943,35,1784758842.2713778,44,299.3963591133768,train
0.1472676249977667,1,,7.902011394500732,3.708003406021414e-05,7.88187313079834,2648.8295198890683,36,1784758842.4490812,10,67.90358709289737,train
0.14800087500043446,1,,4.080330848693848,3.643582753928256e-05,7.995530128479004,2967.6632229094507,37,1784758842.622616,73,493.24032712499644,train
0.1507637499962584,1,,6.9561285972595215,3.578280243540526e-05,8.369307518005371,4312.648596931135,38,1784758842.796304,18,119.39209525132345,train
0.1565040829955251,1,,5.5258941650390625,3.512160320551906e-05,7.8993000984191895,2695.395156597317,39,1784758842.9732218,26,166.12985107068047,train
0.15920970900333486,1,,5.477994918823242,3.4452882373436316e-05,8.505120277404785,4939.99835608099,40,1784758843.149673,24,150.74457550511124,train
0.1597037499959697,1,,5.432593822479248,3.3777299885882666e-05,8.145709037780762,3448.5496756879065,41,1784758843.326151,23,144.0166558429619,train
0.16101000000344357,1,,3.9446306228637695,3.309552246120924e-05,9.244279861450195,10345.22005363426,42,1784758843.5049012,70,434.7556052326122,train
0.15915149999636924,1,,2.9363930225372314,3.240822293142221e-05,8.306572914123535,4050.40807435017,43,1784758843.681748,172,1080.7312529503265,train
0.15331891599635128,1,,5.229454517364502,3.171607957817881e-05,8.222358703613281,3723.2741336161907,44,1784758843.858783,28,182.62586725219444,train
